row,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32
1,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
2,#F5F8FC,#F6FAFD,#F6FBFD,#F6FBFB,#F6FBFA,#F6FBF8,#F7FCF7,#F8FDF7,#F9FEF7,#FAFFF7,#FCFEF7,#FEFEF7,#FFFEF7,#FFFDF6,#FFFBF5,#FFFAF5,#FFF9F5,#FFF9F5,#FFF8F5,#FFF7F4,#FFF7F5,#FFF7F8,#FFF7FA,#FFF7FA,#FDF6FA,#FBF5FA,#F8F4FA,#F6F4F9,#F6F4FA,#F4F5FA,#F4F6FB,#F5F7FB
3,#EBF1FA,#EDF4FC,#EDF6FB,#ECF7F8,#ECF7F4,#ECF7F1,#EDF8EE,#EFFBED,#F1FDEE,#F3FFEE,#F8FEED,#FEFEED,#FFFDED,#FFFBEC,#FFF7EA,#FFF4EA,#FFF3E9,#FFF1E9,#FFEFE9,#FFEEE8,#FFEDEA,#FFEEF0,#FFEEF4,#FEEDF5,#FBECF4,#F6EAF4,#F0E9F4,#EDE8F3,#EBE8F4,#E9EAF4,#E9ECF6,#EAEEF7
4,#E0EAF7,#E3EEFA,#E3F1F8,#E2F3F3,#E0F2EE,#E0F2E8,#E1F4E4,#E4F8E2,#E7FCE2,#EAFEE2,#F3FDE1,#FDFDE2,#FFFCE1,#FFF8E0,#FFF2DE,#FFEEDD,#FFEBDC,#FFE9DC,#FFE6DC,#FFE3DA,#FFE2DD,#FFE3E7,#FFE2EC,#FDE2EE,#F8E0ED,#F0DEED,#E8DCED,#E3DBED,#E0DBEE,#DDDEEF,#DEE2F1,#DFE6F2
5,#D5E2F4,#D8E8F8,#D8ECF6,#D6EEEF,#D4EDE7,#D3EDDF,#D4EFD8,#D7F4D4,#DBFAD3,#DFFED3,#EDFCD3,#FBFCD4,#FFFAD4,#FFF5D2,#FFEDD0,#FEE7CF,#FFE3CE,#FFE0CE,#FFDBCD,#FFD7CA,#FFD5CF,#FFD6DC,#FFD5E4,#FCD4E6,#F4D2E5,#EAD1E6,#DFCFE6,#D8CEE6,#D5CEE8,#D1D3E9,#D2D8EC,#D3DDEE
6,#C5D7EF,#C9E0F5,#CAE6F2,#C8E8EA,#C6E7E0,#C5E7D6,#C7EACD,#CCF1C8,#D2F9C8,#D6FEC8,#E8FCC9,#F9FBCA,#FFF9C9,#FFF3C7,#FFE8C3,#FDDFC0,#FFDABF,#FFD6BF,#FFD0BE,#FFC9B9,#FFC7BF,#FFC8D1,#FFC7DB,#FAC4DE,#EFC2DB,#E1BFDC,#D2BCDC,#C7BBDC,#C3BBDE,#BEC0DF,#BEC8E3,#C0CFE7
7,#B3CCEA,#BAD7F2,#BBDFEF,#B9E2E4,#B7E1D8,#B6E1CB,#B9E4C0,#BFEDBB,#C7F7BB,#CDFDBC,#E3FBBD,#F7FABE,#FFF8BD,#FFF0BA,#FFE3B5,#FBD7B1,#FFD0AF,#FFCBAF,#FFC3AD,#FFBAA6,#FFB7AD,#FFB8C4,#FFB6D1,#F7B3D4,#E9B0D1,#D8ACD2,#C4A9D2,#B7A7D1,#B2A7D5,#ABAFD6,#ABB8DB,#ADC1E0
8,#A1C0E5,#A9CFEF,#ABD8EB,#A9DBDE,#A6DACF,#A5DABF,#A8DEB2,#B0E9AC,#BAF5AD,#C2FDAE,#DCFAAF,#F5F9B0,#FFF6AF,#FFEDAC,#FEDDA5,#F9CFA0,#FDC69D,#FFBF9D,#FFB69B,#FFAA93,#FFA59A,#FFA6B7,#FFA5C6,#F4A1CA,#E39DC6,#CE99C7,#B796C8,#A795C7,#A195CB,#989DCD,#97A8D3,#9AB3D9
9,#8EB5E0,#98C6EC,#9AD1E7,#97D4D8,#94D3C6,#93D2B3,#96D7A3,#A0E49C,#ABF39D,#B4FC9F,#D5F9A0,#F2F8A1,#FFF5A0,#FFEA9C,#FDD794,#F6C68E,#FBBB8B,#FFB38B,#FFA788,#FF987E,#FF9388,#FF94A9,#FD92BB,#F08EC0,#DD8ABB,#C486BD,#AA84BE,#9883BD,#9083C2,#868DC4,#849ACB,#87A6D1
10,#7BAADC,#85BDE9,#88C9E3,#84CDD2,#80CCBC,#7FCBA7,#83D094,#8EDF8B,#9AF08C,#A5FB8D,#CCF88E,#EFF690,#FFF38F,#FFE78A,#FAD082,#F3BC7B,#F8B077,#FFA678,#FF9774,#FF866A,#FF8075,#FF819B,#FA7EB0,#EC7AB6,#D677B1,#BB75B3,#9E73B5,#8A73B4,#8174BA,#747FBC,#728CC3,#749ACB
